front,hl,word,meaning,sentence,analogy
"言","言","言","动词。说话，说。","赵括自少时学兵法、言兵事。","王力《古代汉语》"
"语","语","语","动词。谈话。","食不语，寝不言。","王力《古代汉语》"
"谓","谓","谓","对〔某人〕说。左传僖公三十二年：\""公使～之曰。","公使谓之曰。","王力《古代汉语》"
"访","访","访","咨询。尚书洪范：\""王～于箕子。","王访于箕子。","王力《古代汉语》"
"请","请","请","请","亟请於武公","王力《古代汉语》"
"召","召","召","召","召孟明、西乞、白乙，使出师於东门之外。","王力《古代汉语》"
"报","报","报","断狱，判决罪人。韩非子五蠹：\""～而罪之。","报而罪之。","王力《古代汉语》"
"告","告","告","告诉。左传隐公元年：\""且～之悔。","且告之悔。","王力《古代汉语》"
"谏","谏","谏","谏","宣子骤谏。","王力《古代汉语》"
"讨","讨","讨","研究。论语宪问：\""世叔～论之。","其君无日不讨国人而训之。","王力《古代汉语》"
"反","反","反","翻转，颠倒。诗经周南关雎：\""辗转～侧。","辗转反侧。","王力《古代汉语》"
"复","复","复","动词。回来，回去。","反复","王力《古代汉语》"
"舍","舍","舍","宾馆，招待所。庄子说剑：\""夫子休就～。","夫子休就舍。","王力《古代汉语》"
"次","次","次","依顺序排列。左传成公三年：\""～及於事。","次及於事。","王力《古代汉语》"
"如","如","如","往，到......去。左传僖公四年：\""楚子使屈完～师。","楚子使屈完如师。","王力《古代汉语》"
"驰","驰","驰","马快跑。左传宣公十二年：\""遂疾进师，车～卒奔。","骐骥骅骝，一日而驰千里。","王力《古代汉语》"
"骤","骤","骤","马跑。诗经小雅四牡：\""载～骎骎。","骤雨不终日。","王力《古代汉语》"
"侵","侵","侵","侵","齐侯以诸侯之师侵蔡。","王力《古代汉语》"
"袭","袭","袭","衣一套叫一袭。汉书昭帝纪：\""赐衣被一～。","赐衣被一袭。","王力《古代汉语》"
"奔","奔","奔","跑。庄子田子方：\""夫子～逸绝尘。","夫子奔逸绝尘。","王力《古代汉语》"
"亡","亡","亡","逃跑。左传宣公二年：\""问其名居，不告而退，遂自～也。","亡羊而补牢，未为迟也。","王力《古代汉语》"
"逐","逐","逐","追赶，追捕，追回来。尚书费誓：\""臣妾逋逃，无敢越～。","丧马勿逐。","王力《古代汉语》"
"及","及","及","追赶上。左传成公二年：\""故不能推车而～。","故不能推车而及。","王力《古代汉语》"
"执","执","执","捉拿，拘捕，擒获。左传僖公五年：\""遂袭虞，灭之，～虞公。","遂袭虞，灭之，执虞公。","王力《古代汉语》"
"免","免","免","脱身，使脱身。礼记曲礼上：\""临财毋苟得，临难毋苟～。","临财毋苟得，临难毋苟免。","王力《古代汉语》"
"享","享","享","享","王用享于西山。","王力《古代汉语》"
"图","图","图","考虑，反复考虑。左传僖公三十年：\""阙秦以利晋，唯君～之。","阙秦以利晋，唯君图之。","王力《古代汉语》"
"虞","虞","虞","意料。左传僖公四年：\""不～君之涉吾地也。","用戒不虞。","王力《古代汉语》"
"克","克","克","战胜，攻破。左传隐公元年：\""郑伯～段于鄢。","郑伯克段于鄢。","王力《古代汉语》"
"堪","堪","堪","堪","君将不堪。","王力《古代汉语》"
"有","有","有","有。左传隐公元年：\""小人～母\""。","小人有母","王力《古代汉语》"
"无","无","无","动词。没有。","无","王力《古代汉语》"
"昭","昭","昭","明亮。诗经大雅抑：\""昊天孔～。","是以清庙茅屋......昭其俭也。","王力《古代汉语》"
"穆","穆","穆","和。诗经大雅烝民：\""～如清风。","穆如清风。","王力《古代汉语》"
"勤","勤","勤","疲劳，辛苦。跟\""逸\""相对。","逸","王力《古代汉语》"
"乏","乏","乏","乏","行李之往来，供其乏困。","王力《古代汉语》"
"乱","乱","乱","没有秩序，跟\""整\""相对。左传僖公三十年：\""以～易整，不武。","整","王力《古代汉语》"
"整","整","整","整","乱","王力《古代汉语》"
"两","两","两","数词。成对的两个，双方。","两臂重於天下也，身亦重於两臂。","王力《古代汉语》"
"贰","贰","贰","副的。与\""正\""相对。","皆受其贰而藏之。","王力《古代汉语》"
"兵","兵","兵","兵器，武器。左传隐公元年：\""缮甲～。","缮甲兵。","王力《古代汉语》"
"车","车","车","车子。上古的车，除用於运输和旅行以外，还有一种重要的用途，就是用於战争（兵车）。","命子封师车二百乘以伐京。","王力《古代汉语》"
